,D_Loss,G_Loss
0,0.043593568533141024,0.020345800309715903
1,0.008886412074938815,0.007853319646820506
2,0.007535199619789812,0.006622199622794667
3,0.006876381769039255,0.005981269566451802
4,0.006441892037556611,0.005500700481654329
5,0.006095830791873888,0.0050576476549560375
6,0.0058160847685434286,0.004782089345993843
7,0.005571127186882942,0.004608907284872497
8,0.005326241360638629,0.004460040594446149
9,0.005090633293932533,0.004275976595553485
10,0.00491766561131506,0.0041097395799376745
11,0.004760194030704903,0.003940034634060161
12,0.004608708774959818,0.0037665951232560336
13,0.00442091097437682,0.0035860508476149907
14,0.004200494752320296,0.0033928509141731866
15,0.003992235935467449,0.0032281708208854024
16,0.003747404661318437,0.0030124831850077698
17,0.003572501375384748,0.0029034094367036845
18,0.0034115082076327367,0.0027854807630061785
19,0.0032575657444303846,0.0026634740618301585
20,0.0031584268423385004,0.0026047738968708457
21,0.0030254387025308005,0.002488210390790062
22,0.0029366915051969775,0.00243293226044127
23,0.0028580439440099234,0.0023743006454302585
24,0.0027695120677083012,0.0022979906846066927
25,0.002710155235045654,0.002262273140346263
26,0.002645597826156586,0.0022093392236227976
27,0.0025824419263859883,0.0021544051652943545
28,0.0025454974412061474,0.002126015316231804
29,0.0024843160212438373,0.0020774839262921304
30,0.002444993681523371,0.002046582431602167
31,0.002406315407392016,0.002014728500208952
32,0.0023561184179974114,0.0019759153212634798
33,0.002337270684012356,0.00196656837429413
34,0.002294791579112052,0.0019342640419814357
35,0.0022602698592628467,0.0019004071681675587
36,0.0022370275576912703,0.0018902886721161118
37,0.002194310819859651,0.0018500934528027546
38,0.0021745872460953134,0.00184081458015975
39,0.002140590507676576,0.001810786608770928
40,0.002116815726780756,0.0017929873173996647
41,0.002094304009171372,0.0017809362043651508
42,0.0020783101463750166,0.0017661737604315747
43,0.002041082356727737,0.0017366575470622529
44,0.0020272169457648927,0.0017251692093500398
45,0.0020067448501181317,0.0017134592448794508
46,0.0019703060407241318,0.0016757429503950285
47,0.0019510896455616077,0.0016644721269298763
48,0.001937604867255584,0.0016567802503655222
49,0.0019183611337912274,0.001642247336358828
